Time,Altitude,Velocity,Drag Force,Resultant Force,Acceleration,Current Total Mass,Total Fuel Remaining,Core Fuel Remaining,SRB Fuel Remaining,Interim Fuel Remaining,Thrust,Down Force,Mach Speed,Air Density 
112.49999999999788,61942.765323477994,1416.7696077861485,-1787.1586696991408,28962513.901123557,23.913534603208927,1211134.7980000044,920054.7980000044,755750.0,135320.3750000044,28984.423,40841476.1266,-11877175.066806743,4.123551761882879,8.283e-05
112.59999999999788,62084.80149235404,1419.1643284356983,-1793.2070389366922,28974357.94383477,23.94720649549799,1209926.4250000045,918846.4250000044,755544.0,134318.0020000044,28984.423,40841476.1266,-11865324.975726293,4.130523637860492,8.283e-05
112.69999999999787,62227.07763938306,1421.5624230053813,-1799.274163897075,28986201.967790257,23.980945696830013,1208718.0520000043,917638.0520000043,755338.0,133315.6290000044,28984.423,40841476.1266,-11853474.884645842,4.137505330716322,8.283e-05
112.79999999999787,62369.594102969735,1423.963898246304,-1805.3601048986307,28998045.972929705,24.014752409226524,1207509.6790000044,916429.6790000044,755132.0,132313.25600000442,28984.423,40841476.1266,-11841624.793565392,4.144496860073998,8.283e-05
112.89999999999786,62512.3512221969,1426.3687609298559,-1811.4649224873995,29009889.959192567,24.04862683551837,1206301.3060000045,915221.3060000044,754926.0,131310.88300000443,28984.423,40841476.1266,-11829774.702484943,4.151498245616047,8.283e-05
112.99999999999785,62655.349336827574,1428.7770178477908,-1817.5886774381645,29021733.926518064,24.082569179349722,1205092.9330000044,914012.9330000044,754720.0,130308.51000000442,28984.423,40841476.1266,-11817924.611404492,4.158509507084128,8.283e-05
113.09999999999785,62798.58878730703,1431.1886758123092,-1823.7314307555048,29033577.874845203,24.116579645182178,1203884.5600000042,912804.5600000044,754514.0,129306.13700000441,28984.423,40841476.1266,-11806074.52032404,4.165530664279274,8.283e-05
113.19999999999784,62942.069914764834,1433.603741656139,-1829.8932436748548,29045421.80411273,24.15065843829884,1202676.1870000043,911596.1870000043,754308.0,128303.7640000044,28984.423,40841476.1266,-11794224.429243593,4.172561737062126,8.283e-05
113.29999999999784,63085.79306101692,1436.0222222326197,-1836.0741776635648,29057265.71425919,24.184805764808512,1201467.8140000044,910387.8140000043,754102.0,127301.3910000044,28984.423,40841476.1266,-11782374.338163143,4.179602745353175,8.283e-05
113.39999999999783,63229.75856856766,1438.4441244157847,-1842.2742944219742,29069109.605222885,24.219021831649798,1200259.4410000043,909179.4410000043,753896.0,126299.01800000439,28984.423,40841476.1266,-11770524.247082692,4.186653709133002,8.283e-05
113.49999999999783,63373.96678061194,1440.8694551004442,-1848.493655884486,29080953.476941872,24.253306846595265,1199051.0680000044,907971.0680000044,753690.0,125296.64500000438,28984.423,40841476.1266,-11758674.156002242,4.193714648442521,8.283e-05
113.59999999999782,63518.41804103726,1443.2982212022698,-1854.7323242206471,29092797.32935399,24.287661018255726,1197842.6950000043,906762.6950000044,753484.0,124294.27200000438,28984.423,40841476.1266,-11746824.06492179,4.200785583383219,8.283e-05
113.69999999999781,63663.11269442583,1445.7304296578782,-1860.9903618362387,29104641.162396822,24.32208455608439,1196634.3220000044,905554.3220000044,753278.0,123291.89900000437,28984.423,40841476.1266,-11734973.973841341,4.207866534117405,8.283e-05
113.79999999999781,63808.05108605667,1448.1660874249162,-1867.2678313743663,29116484.976007733,24.35657767038118,1195425.9490000042,904345.9490000043,753072.0,122289.52600000436,28984.423,40841476.1266,-11723123.88276089,4.21495752086845,8.283e-05
113.8999999999978,63953.23356190775,1450.605201482146,-1873.564795716563,29128328.77012384,24.391140572296965,1194217.5760000043,903137.5760000043,752866.0,121287.15300000436,28984.423,40841476.1266,-11711273.791680442,4.222058563921038,8.283e-05
113.9999999999978,64098.66046865807,1453.0477788295298,-1879.8813179838946,29140172.544682022,24.425773473837918,1193009.2030000044,901929.2030000043,752660.0,120284.78000000435,28984.423,40841476.1266,-11699423.700599993,4.229169683621417,8.283e-05
114.09999999999779,64244.33215368984,1455.4938264883167,-1886.217461538069,29152016.29961892,24.460476587869817,1191800.8300000043,900720.8300000043,752454.0,119282.40700000434,28984.423,40841476.1266,-11687573.609519541,4.236290900377638,8.283e-05
114.19999999999779,64390.24896509059,1457.943351501129,-1892.5732899825568,29163860.034870923,24.495250128122404,1190592.4570000044,899512.4570000042,752248.0,118280.03400000434,28984.423,40841476.1266,-11675723.518439092,4.243422234659816,8.283e-05
