Time,Altitude,Velocity,Drag Force,Resultant Force,Acceleration,Current Total Mass,Total Fuel Remaining,Core Fuel Remaining,SRB Fuel Remaining,Interim Fuel Remaining,Thrust,Down Force,Mach Speed,Air Density,Delta_pos 
469.8000000000383,1067454.4431973554,6165.523315109899,-0.0,7478405.45665,53.80186516917388,138999.0,48699.0,19712.0,0.0,28987.0,8841520,-1363114.54335,17.959600957997033,0,616.8213408368358
469.90000000003835,1068071.8039729837,6170.912942559807,-0.0,7480425.62655,53.89627449907416,138793.0,48493.0,19506.0,0.0,28987.0,8841520,-1361094.3734499998,17.975286632973468,0,617.3607756284762
470.00000000003837,1068689.7051317072,6176.312039009294,-0.0,7482445.79645,53.99096449486604,138587.0,48287.0,19300.0,0.0,28987.0,8841520,-1359074.20355,17.99099983253588,0,617.9011587234038
470.1000000000384,1069308.1476246542,6181.720632650292,-0.0,7484465.96635,54.08593640998403,138381.0,48081.0,19094.0,0.0,28987.0,8841520,-1357054.0336499999,18.00674063851106,0,618.4424929470791
470.2000000000384,1069927.132405792,6187.138751800826,-0.0,7486486.13625,54.18119150533744,138175.0,47875.0,18888.0,0.0,28987.0,8841520,-1355033.86375,18.02250913309123,0,618.9847811376093
470.30000000003844,1070546.6604319378,6192.566424905763,-0.0,7488506.306150001,54.27673104936616,137969.0,47669.0,18682.0,0.0,28987.0,8841520,-1353013.69385,18.038305398836226,0,619.5280261458231
470.40000000003846,1071166.7326627732,6198.003680537572,-0.0,7490526.476050001,54.372556318097025,137763.0,47463.0,18476.0,0.0,28987.0,8841520,-1350993.5239499998,18.054129518675694,0,620.0722308353477
470.5000000000385,1071787.350060856,6203.450547397092,-0.0,7492546.64595,54.46866859520053,137557.0,47257.0,18270.0,0.0,28987.0,8841520,-1348973.35405,18.06998157591129,0,620.6173980826852
470.6000000000385,1072408.5135916332,6208.907054314297,-0.0,7494566.81585,54.565069172048254,137351.0,47051.0,18064.0,0.0,28987.0,8841520,-1346953.1841499999,18.085861654218927,0,621.16353077729
470.70000000003853,1073030.2242234547,6214.373230249074,-0.0,7496586.98575,54.661759347770605,137145.0,46845.0,17858.0,0.0,28987.0,8841520,-1344933.01425,18.101769837651013,0,621.7106318216464
470.80000000003855,1073652.482927586,6219.849104292006,-0.0,7498607.15565,54.758740429315246,136939.0,46639.0,17652.0,0.0,28987.0,8841520,-1342912.84435,18.1177062106387,0,622.2587041313473
470.9000000000386,1074275.290678221,6225.334705665156,-0.0,7500627.32555,54.85601373150593,136733.0,46433.0,17446.0,0.0,28987.0,8841520,-1340892.6744499998,18.133670857994186,0,622.8077506351732
471.0000000000386,1074898.6484524962,6230.830063722867,-0.0,7502647.49545,54.95358057710197,136527.0,46227.0,17240.0,0.0,28987.0,8841520,-1338872.50455,18.14966386491299,0,623.3577742751722
471.1000000000386,1075522.5572305028,6236.335207952553,-0.0,7504667.66535,55.051442296858156,136321.0,46021.0,17034.0,0.0,28987.0,8841520,-1336852.3346499999,18.165685316976287,0,623.9087780067396
471.20000000003864,1076147.0179953016,6241.850167975512,-0.0,7506687.83525,55.149600229585275,136115.0,45815.0,16828.0,0.0,28987.0,8841520,-1334832.16475,18.181735300153214,0,624.4607647986992
471.30000000003866,1076772.031732935,6247.374973547733,-0.0,7508708.00515,55.248055722211184,135909.0,45609.0,16622.0,0.0,28987.0,8841520,-1332811.99485,18.19781390080324,0,625.0137376333845
471.4000000000387,1077397.5994324416,6252.909654560717,-0.0,7510728.17505,55.346810129842375,135703.0,45403.0,16416.0,0.0,28987.0,8841520,-1330791.8249499998,18.213921205678524,0,625.5676995067209
471.5000000000387,1078023.7220858699,6258.4542410423,-0.0,7512748.34495,55.44586481582618,135497.0,45197.0,16210.0,0.0,28987.0,8841520,-1328771.65505,18.23005730192629,0,626.1226534283091
471.60000000003873,1078650.4006882913,6264.008763157482,-0.0,7514768.51485,55.5452211518135,135291.0,44991.0,16004.0,0.0,28987.0,8841520,-1326751.4851499998,18.246222277091253,0,626.6786024215072
471.70000000003876,1079277.6362378148,6269.573251209264,-0.0,7516788.68475,55.64488051782211,135085.0,44785.0,15798.0,0.0,28987.0,8841520,-1324731.31525,18.262416219118023,0,627.2355495235155
471.8000000000388,1079905.4297356002,6275.1477356394935,-0.0,7518808.85465,55.74484430230058,134879.0,44579.0,15592.0,0.0,28987.0,8841520,-1322711.14535,18.27863921635354,0,627.7934977854609
471.9000000000388,1080533.7821858728,6280.732247029713,-0.0,7520829.02455,55.84511390219272,134673.0,44373.0,15386.0,0.0,28987.0,8841520,-1320690.97545,18.294891357549545,0,628.3524502724823
472.0000000000388,1081162.6945959367,6286.326816102013,-0.0,7522849.19445,55.94569072300267,134467.0,44167.0,15180.0,0.0,28987.0,8841520,-1318670.80555,18.311172731865053,0,628.9124100638164
472.10000000003885,1081792.1679761896,6291.931473719899,-0.0,7524869.36435,56.04657617886058,134261.0,43961.0,14974.0,0.0,28987.0,8841520,-1316650.6356499998,18.32748342886884,0,629.4733802528843
472.20000000003887,1082422.203340137,6297.546250889158,-0.0,7526889.5342500005,56.14777169258887,134055.0,43755.0,14768.0,0.0,28987.0,8841520,-1314630.46575,18.34382353854198,0,630.0353639473789
472.3000000000389,1083052.8017044063,6303.171178758735,-0.0,7528909.704150001,56.24927869576912,133849.0,43549.0,14562.0,0.0,28987.0,8841520,-1312610.2958499999,18.360193151280342,0,630.5983642693523
472.4000000000389,1083683.9640887615,6308.806288621616,-0.0,7530929.87405,56.35109862880959,133643.0,43343.0,14356.0,0.0,28987.0,8841520,-1310590.12595,18.376592357897184,0,631.1623843553057
472.50000000003894,1084315.6915161177,6314.451611915717,-0.0,7532950.04395,56.45323294101336,133437.0,43137.0,14150.0,0.0,28987.0,8841520,-1308569.95605,18.3930212496257,0,631.7274273562768
472.60000000003896,1084947.9850125555,6320.107180224782,-0.0,7534970.21385,56.55568309064707,133231.0,42931.0,13944.0,0.0,28987.0,8841520,-1306549.7861499998,18.409479918121622,0,632.2934964379314
472.700000000039,1085580.8456073361,6325.773025279283,-0.0,7536990.38375,56.65845054501034,133025.0,42725.0,13738.0,0.0,28987.0,8841520,-1304529.61625,18.425968455465835,0,632.8605947806533
472.800000000039,1086214.2743329157,6331.449178957333,-0.0,7539010.55365,56.7615367805058,132819.0,42519.0,13532.0,0.0,28987.0,8841520,-1302509.4463499999,18.442486954167006,0,633.4287255796359
472.90000000003903,1086848.2722249606,6337.135673285604,-0.0,7541030.72355,56.864943282709845,132613.0,42313.0,13326.0,0.0,28987.0,8841520,-1300489.27645,18.459035507164238,0,633.9978920449739
473.00000000003905,1087482.8403223623,6342.8325404402485,-0.0,7543050.89345,56.96867154644392,132407.0,42107.0,13120.0,0.0,28987.0,8841520,-1298469.10655,18.47561420782975,0,634.5680974017572
473.1000000000391,1088117.9796672524,6348.539812747833,-0.0,7545071.06335,57.07272307584663,132201.0,41901.0,12914.0,0.0,28987.0,8841520,-1296448.9366499998,18.49222314997157,0,635.1393448901625
473.2000000000391,1088753.691305018,6354.257522686277,-0.0,7547091.23325,57.17709938444638,131995.0,41695.0,12708.0,0.0,28987.0,8841520,-1294428.76675,18.50886242783625,0,635.71163776555
473.3000000000391,1089389.9762843165,6359.9857028858005,-0.0,7549111.40315,57.28180199523481,131789.0,41489.0,12502.0,0.0,28987.0,8841520,-1292408.5968499999,18.525532136111597,0,636.2849792985563
473.40000000003914,1090026.8356570918,6365.724386129875,-0.0,7551131.57305,57.386832440740825,131583.0,41283.0,12296.0,0.0,28987.0,8841520,-1290388.42695,18.542232369929447,0,636.8593727751912
473.50000000003917,1090664.2704785888,6371.4736053561855,-0.0,7553151.74295,57.492192263105416,131377.0,41077.0,12090.0,0.0,28987.0,8841520,-1288368.25705,18.55896322486844,0,637.4348214969342
473.6000000000392,1091302.2818073696,6377.2333936576015,-0.0,7555171.91285,57.59788301415709,131171.0,40871.0,11884.0,0.0,28987.0,8841520,-1286348.08715,18.57572479695681,0,638.011328780831
473.7000000000392,1091940.870705329,6383.003784283151,-0.0,7557192.08275,57.70390625548811,130965.0,40665.0,11678.0,0.0,28987.0,8841520,-1284327.91725,18.592517182675223,0,638.5888979595925
473.80000000003923,1092580.0382377107,6388.784810639004,-0.0,7559212.25265,57.81026355853135,130759.0,40459.0,11472.0,0.0,28987.0,8841520,-1282307.7473499998,18.609340478959624,0,639.167532381693
473.90000000003926,1093219.7854731223,6394.576506289468,-0.0,7561232.42255,57.916956504637966,130553.0,40253.0,11266.0,0.0,28987.0,8841520,-1280287.57745,18.62619478320409,0,639.74723541147
474.0000000000393,1093860.1134835514,6400.378904957984,-0.0,7563252.59245,58.023986685155776,130347.0,40047.0,11060.0,0.0,28987.0,8841520,-1278267.40755,18.643080193263756,0,640.3280104292242
474.1000000000393,1094501.0233443826,6406.192040528134,-0.0,7565272.76235,58.13135570150837,130141.0,39841.0,10854.0,0.0,28987.0,8841520,-1276247.23765,18.659996807457677,0,640.9098608313211
474.2000000000393,1095142.516134413,6412.0159470446615,-0.0,7567292.932250001,58.23906516527495,129935.0,39635.0,10648.0,0.0,28987.0,8841520,-1274227.06775,18.676944724571822,0,641.4927900302926
474.30000000003935,1095784.5929358678,6417.850658714488,-0.0,7569313.102150001,58.347116698271016,129729.0,39429.0,10442.0,0.0,28987.0,8841520,-1272206.8978499998,18.693924043861987,0,642.0768014549402
474.40000000003937,1096427.2548344182,6423.696209907752,-0.0,7571333.27205,58.455511932629726,129523.0,39223.0,10236.0,0.0,28987.0,8841520,-1270186.72795,18.710934865056817,0,642.6618985504384
474.5000000000394,1097070.5029191966,6429.5526351588405,-0.0,7573353.44195,58.5642525108841,129317.0,39017.0,10030.0,0.0,28987.0,8841520,-1268166.5580499999,18.727977288360794,0,643.2480847784385
474.6000000000394,1097714.3382828138,6435.419969167446,-0.0,7575373.61185,58.67334008604999,129111.0,38811.0,9824.0,0.0,28987.0,8841520,-1266146.38815,18.74505141445726,0,643.835363617175
474.70000000003944,1098358.7620213754,6441.298246799617,-0.0,7577393.78175,58.78277632170979,128905.0,38605.0,9618.0,0.0,28987.0,8841520,-1264126.21825,18.762157344511504,0,644.4237385615703
474.80000000003946,1099003.7752344988,6447.187503088827,-0.0,7579413.95165,58.89256289209707,128699.0,38399.0,9412.0,0.0,28987.0,8841520,-1262106.0483499998,18.77929518017381,0,645.0132131233432
474.9000000000395,1099649.3790253298,6453.087773237045,-0.0,7581434.12155,59.00270148218191,128493.0,38193.0,9206.0,0.0,28987.0,8841520,-1260085.87845,18.796465023582584,0,645.6037908311155
475.0000000000395,1100295.5745005603,6458.999092615821,-0.0,7583454.29145,59.11319378775714,128287.0,37987.0,9000.0,0.0,28987.0,8841520,-1258065.7085499999,18.81366697736748,0,646.195475230521
475.10000000003953,1100942.3627704447,6464.921496767373,-0.0,7585474.4613499995,59.22404151552533,128081.0,37781.0,8794.0,0.0,28987.0,8841520,-1256045.53865,18.83090114465254,0,646.788269884315
475.20000000003955,1101589.7449488172,6470.855021405692,-0.0,7587494.63125,59.3352463831867,127875.0,37575.0,8588.0,0.0,28987.0,8841520,-1254025.36875,18.848167629059397,0,647.3821783724852
475.3000000000396,1102237.7221531095,6476.799702417645,-0.0,7589514.80115,59.44681011952784,127669.0,37369.0,8382.0,0.0,28987.0,8841520,-1252005.1988499998,18.865466534710475,0,647.9772042923622
475.4000000000396,1102886.2955043681,6482.755575864096,-0.0,7591534.97105,59.55873446451127,127463.0,37163.0,8176.0,0.0,28987.0,8841520,-1249985.02895,18.8827979662322,0,648.5733512587321
475.5000000000396,1103535.466127272,6488.722677981033,-0.0,7593555.14095,59.67102116936593,127257.0,36957.0,7970.0,0.0,28987.0,8841520,-1247964.8590499999,18.900162028758295,0,649.1706229039501
475.60000000003964,1104185.23515015,6494.7010451807,-0.0,7595575.31085,59.7836719966785,127051.0,36751.0,7764.0,0.0,28987.0,8841520,-1245944.68915,18.91755882793304,0,649.7690228780534
475.70000000003967,1104835.603704999,6500.690714052748,-0.0,7597595.48075,59.896688720485635,126845.0,36545.0,7558.0,0.0,28987.0,8841520,-1243924.51925,18.93498846991458,0,650.3685548488772
475.8000000000397,1105486.572927501,6506.691721365385,-0.0,7599615.65065,60.010073126367075,126639.0,36339.0,7352.0,0.0,28987.0,8841520,-1241904.34935,18.952451061378273,0,650.9692225021704
